,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-28,"
Asia
","494,774","+11,548","17,910",+322,"245,958","230,906","5,832",,,,,Asia
1,2020-04-28,"
North America
","1,119,114","+28,318","64,264","+2,716","173,859","880,991","16,563",,,,,North America
2,2020-04-28,"
Europe
","1,322,706","+24,004","126,422","+2,425","459,794","736,490","24,626",,,,,Europe
3,2020-04-28,"
South America
","155,203","+11,029","7,568",+838,"54,267","93,368","9,775",,,,,South America
4,2020-04-28,"
Oceania
","8,312",+21,107,+5,"6,918","1,287",45,,,,,Australia/Oceania
5,2020-04-28,"
Africa
","35,678","+1,642","1,527",+59,"11,868","22,283",120,,,,,Africa
6,2020-04-28,"

",721,,15,,645,61,4,,,,,
7,2020-04-28,World,"3,136,508","+76,562","217,813","+6,365","953,309","1,965,386","56,965",402,27.9,,,All
8,2020-04-28,China,"82,836",+6,"4,633 ",,"77,555",648,50,58,3,,,Asia
9,2020-04-28,USA,"1,035,765","+25,409","59,266 ","+2,470","142,238","834,261","15,298","3,129",179,"5,919,847","17,885",North America
10,2020-04-28,Spain,"232,128","+2,706","23,822 ",+301,"123,903","84,403","7,764","4,965",510,"1,345,560","28,779",Europe
11,2020-04-28,Italy,"201,505","+2,091","27,359 ",+382,"68,941","105,205","1,863","3,333",453,"1,846,934","30,547",Europe
12,2020-04-28,France,"165,911","+2,638","23,660 ",+367,"46,886","95,365","4,387","2,542",362,"463,662","7,103",Europe
13,2020-04-28,UK,"161,145","+3,996","21,678 ",+586,N/A,"139,123","1,559","2,374",319,"763,387","11,245",Europe
14,2020-04-28,Germany,"159,912","+1,154","6,314 ",+188,"117,400","36,198","2,409","1,909",75,"2,072,669","24,738",Europe
15,2020-04-28,Turkey,"114,653","+2,392","2,992 ",+92,"38,809","72,852","1,621","1,359",35,"948,115","11,242",Asia
16,2020-04-28,Russia,"93,558","+6,411",867 ,+73,"8,456","84,235","2,300",641,6,"3,139,258","21,511",Europe
17,2020-04-28,Iran,"92,584","+1,112","5,877 ",+71,"72,439","14,268","2,983","1,102",70,"442,590","5,269",Asia
18,2020-04-28,Brazil,"72,899","+6,398","5,063 ",+520,"32,544","35,292","8,318",343,24,"339,552","1,597",South America
19,2020-04-28,Canada,"50,026","+1,526","2,859 ",+152,"19,190","27,977",557,"1,325",76,"740,859","19,629",North America
20,2020-04-28,Belgium,"47,334",+647,"7,331 ",+124,"10,943","29,060",876,"4,084",633,"220,204","19,000",Europe
21,2020-04-28,Netherlands,"38,416",+171,"4,566 ",+48,N/A,"33,600",861,"2,242",266,"209,726","12,240",Europe
22,2020-04-28,India,"31,324","+1,873","1,008 ",+69,"7,747","22,569",,23,0.7,"716,733",519,Asia
23,2020-04-28,Peru,"31,190","+2,491",854 ,+72,"9,179","21,157",600,946,26,"267,612","8,116",South America
24,2020-04-28,Switzerland,"29,264",+100,"1,699 ",+34,"22,600","4,965",185,"3,381",196,"256,500","29,637",Europe
25,2020-04-28,Portugal,"24,322",+295,948 ,+20,"1,389","21,985",172,"2,385",93,"379,551","37,223",Europe
26,2020-04-28,Ecuador,"24,258","+1,018",871 ,+208,"1,557","21,830",146,"1,375",49,"61,529","3,487",South America
27,2020-04-28,Saudi Arabia,"20,077","+1,266",152 ,+8,"2,784","17,141",118,577,4,"200,000","5,745",Asia
28,2020-04-28,Ireland,"19,877",+229,"1,159 ",+57,"9,233","9,485",141,"4,025",235,"153,954","31,179",Europe
29,2020-04-28,Sweden,"19,621",+695,"2,355 ",+81,"1,005","16,261",524,"1,943",233,"119,500","11,833",Europe
30,2020-04-28,Israel,"15,728",+173,210 ,+6,"7,746","7,772",116,"1,817",24,"313,135","36,177",Asia
31,2020-04-28,Mexico,"15,529",+852,"1,434 ",+83,"9,086","5,009",378,120,11,"71,103",551,North America
32,2020-04-28,Austria,"15,357",+83,569 ,+20,"12,580","2,208",136,"1,705",63,"239,578","26,601",Europe
33,2020-04-28,Singapore,"14,951",+528,14 ,,"1,128","13,809",20,"2,556",2,"121,774","20,815",Asia
34,2020-04-28,Pakistan,"14,612",+697,312 ,+20,"3,233","11,067",111,66,1,"157,223",712,Asia
35,2020-04-28,Chile,"14,365",+552,207 ,+9,"7,710","6,448",426,751,11,"166,165","8,692",South America
36,2020-04-28,Japan,"13,736",+122,394 ,+9,"1,899","11,443",300,109,3,"160,546","1,269",Asia
37,2020-04-28,Poland,"12,218",+316,596 ,+34,"2,655","8,967",160,323,16,"310,744","8,211",Europe
38,2020-04-28,Belarus,"12,208",+919,79 ,+4,"1,993","10,136",92,"1,292",8,"161,028","17,041",Europe
39,2020-04-28,Qatar,"11,921",+677,10 ,,"1,134","10,777",72,"4,138",3,"88,607","30,755",Asia
40,2020-04-28,Romania,"11,616",+277,663 ,+22,"3,404","7,549",243,604,34,"150,309","7,813",Europe
41,2020-04-28,UAE,"11,380",+541,89 ,+7,"2,181","9,110",1,"1,151",9,"1,057,326","106,904",Asia
42,2020-04-28,S. Korea,"10,752",+14,244 ,+1,"8,854","1,654",55,210,5,"608,514","11,869",Asia
43,2020-04-28,Indonesia,"9,511",+415,773 ,+8,"1,254","7,484",,35,3,"79,618",291,Asia
44,2020-04-28,Ukraine,"9,410",+401,239 ,+19,992,"8,179",121,215,5,"98,719","2,257",Europe
45,2020-04-28,Denmark,"8,851",+153,434 ,+7,"6,121","2,296",66,"1,528",75,"166,846","28,805",Europe
46,2020-04-28,Serbia,"8,497",+222,168 ,+6,"1,260","7,069",79,972,19,"73,363","8,396",Europe
47,2020-04-28,Philippines,"7,958",+181,530 ,+19,975,"6,453",31,73,5,"89,889",820,Asia
48,2020-04-28,Norway,"7,660",+61,206 ,+1,32,"7,422",44,"1,413",38,"165,951","30,611",Europe
49,2020-04-28,Czechia,"7,504",+59,227 ,+4,"2,948","4,329",73,701,21,"226,255","21,128",Europe
50,2020-04-28,Australia,"6,738",+18,88 ,+5,"5,626","1,024",42,264,3,"536,000","21,020",Australia/Oceania
51,2020-04-28,Bangladesh,"6,462",+549,155 ,+3,139,"6,168",1,39,0.9,"54,733",332,Asia
52,2020-04-28,Dominican Republic,"6,416",+123,286 ,+4,"1,165","4,965",144,591,26,"23,979","2,210",North America
53,2020-04-28,Panama,"6,021",+242,167 ,+2,455,"5,399",89,"1,395",39,"27,834","6,451",North America
54,2020-04-28,Colombia,"5,949",+352,269 ,+16,"1,268","4,412",118,117,5,"90,899","1,786",South America
55,2020-04-28,Malaysia,"5,851",+31,100 ,+1,"4,032","1,719",36,181,3,"152,142","4,701",Asia
56,2020-04-28,Egypt,"5,042",+260,359 ,+22,"1,304","3,379",,49,4,"90,000",879,Africa
57,2020-04-28,South Africa,"4,996",+203,93 ,+3,"2,073","2,830",36,84,2,"185,000","3,119",Africa
58,2020-04-28,Finland,"4,740",+45,199 ,+6,"2,800","1,741",56,855,36,"85,800","15,485",Europe
59,2020-04-28,Morocco,"4,252",+132,165 ,+3,778,"3,309",1,115,4,"32,250",874,Africa
60,2020-04-28,Argentina,"4,127",+124,207 ,+10,"1,162","2,758",144,91,5,"53,600","1,186",South America
61,2020-04-28,Luxembourg,"3,741",+12,89 ,+1,"3,123",529,19,"5,976",142,"39,741","63,486",Europe
62,2020-04-28,Algeria,"3,649",+132,437 ,+5,"1,651","1,561",22,83,10,"6,500",148,Africa
63,2020-04-28,Moldova,"3,638",+157,103 ,+1,975,"2,560",212,902,26,"11,763","2,916",Europe
64,2020-04-28,Kuwait,"3,440",+152,23 ,+1,"1,176","2,241",67,806,5,"179,000","41,915",Asia
65,2020-04-28,Kazakhstan,"3,027",+192,25 ,,774,"2,228",41,161,1,"216,276","11,518",Asia
66,2020-04-28,Thailand,"2,938",+7,54 ,+2,"2,652",232,61,42,0.8,"178,083","2,551",Asia
67,2020-04-28,Bahrain,"2,811",+88,8 ,,"1,310","1,493",2,"1,652",5,"121,706","71,525",Asia
68,2020-04-28,Hungary,"2,649",+66,291 ,+11,516,"1,842",49,274,30,"67,172","6,953",Europe
69,2020-04-28,Greece,"2,566",+32,138 ,+2,577,"1,851",40,246,13,"69,833","6,700",Europe
70,2020-04-28,Oman,"2,131",+82,10 ,,364,"1,757",3,417,2,,,Asia
71,2020-04-28,Croatia,"2,047",+8,63 ,+4,"1,232",752,21,499,15,"33,577","8,179",Europe
72,2020-04-28,Uzbekistan,"1,939",+35,8 ,,992,939,8,58,0.2,"242,536","7,247",Asia
73,2020-04-28,Iraq,"1,928",+81,90 ,+2,"1,319",519,,48,2,"73,782","1,834",Asia
74,2020-04-28,Armenia,"1,867",+59,30 ,+1,866,971,10,630,10,"19,296","6,512",Asia
75,2020-04-28,Afghanistan,"1,828",+125,58 ,+1,228,"1,542",7,47,1,"9,000",231,Asia
76,2020-04-28,Iceland,"1,795",+3,10 ,,"1,636",149,1,"5,260",29,"46,377","135,906",Europe
77,2020-04-28,Azerbaijan,"1,717",+39,22 ,,"1,221",474,15,169,2,"132,640","13,082",Asia
78,2020-04-28,Cameroon,"1,705",,58 ,,915,732,12,64,2,,,Africa
79,2020-04-28,Ghana,"1,671",+121,16 ,+5,188,"1,467",4,54,0.5,"100,622","3,238",Africa
80,2020-04-28,Estonia,"1,660",+13,50 ,,240,"1,370",9,"1,251",38,"49,527","37,336",Europe
81,2020-04-28,Bosnia and Herzegovina,"1,585",+20,63 ,+3,682,840,4,483,19,"27,603","8,413",Europe
82,2020-04-28,Nigeria,"1,532",+195,44 ,+4,255,"1,233",2,7,0.2,"10,918",53,Africa
83,2020-04-28,New Zealand,"1,472",+3,19 ,,"1,214",239,1,305,4,"126,066","26,143",Australia/Oceania
84,2020-04-28,Cuba,"1,437",+48,58 ,+2,575,804,12,127,5,"43,508","3,841",North America
85,2020-04-28,North Macedonia,"1,421",+22,71 ,+6,589,761,13,682,34,"15,771","7,570",Europe
86,2020-04-28,Slovenia,"1,408",+6,86 ,+3,223,"1,099",24,677,41,"50,290","24,190",Europe
87,2020-04-28,Bulgaria,"1,399",+36,58 ,,222,"1,119",39,201,8,"27,000","3,886",Europe
88,2020-04-28,Slovakia,"1,384",+3,20 ,+2,423,941,6,253,4,"75,866","13,896",Europe
89,2020-04-28,Lithuania,"1,344",,44 ,+3,536,764,17,494,16,"111,809","41,072",Europe
90,2020-04-28,Guinea,"1,240",+77,7 ,,269,964,,94,0.5,,,Africa
91,2020-04-28,Ivory Coast,"1,183",+19,14 ,,525,644,,45,0.5,,,Africa
92,2020-04-28,Djibouti,"1,072",+37,2 ,,498,572,,"1,085",2,"12,571","12,724",Africa
93,2020-04-28,Hong Kong,"1,038",,4 ,,811,223,4,138,0.5,"145,640","19,426",Asia
94,2020-04-28,Bolivia,"1,014",+64,53 ,+3,98,863,3,87,5,"5,791",496,South America
95,2020-04-28,Tunisia,975,+8,40 ,+1,279,656,18,82,3,"21,477","1,817",Africa
96,2020-04-28,Cyprus,837,+15,15 ,,148,674,15,693,12,"53,219","44,079",Asia
97,2020-04-28,Latvia,836,+18,13 ,,267,556,4,443,7,"51,561","27,336",Europe
98,2020-04-28,Senegal,823,+87,9 ,,296,518,1,49,0.5,466,28,Africa
99,2020-04-28,Albania,750,+14,30 ,+2,431,289,4,261,10,"7,758","2,696",Europe
100,2020-04-28,Andorra,743,,41 ,+1,398,304,17,"9,616",531,"1,673","21,653",Europe
101,2020-04-28,Lebanon,717,+7,24 ,,145,548,44,105,4,"30,879","4,524",Asia
102,2020-04-28,Diamond Princess,712,,13 ,,645,54,4,,,,,
103,2020-04-28,Niger,709,+8,31 ,+2,403,275,,29,1,"5,116",211,Africa
104,2020-04-28,Kyrgyzstan,708,+13,8 ,,416,284,13,109,1,"45,627","6,994",Asia
105,2020-04-28,Costa Rica,705,+8,6 ,,306,393,8,138,1,"12,729","2,499",North America
106,2020-04-28,Honduras,702,+41,64 ,+3,79,559,10,71,6,"3,643",368,North America
107,2020-04-28,Burkina Faso,638,+3,42 ,,476,120,,31,2,,,Africa
108,2020-04-28,Uruguay,620,+14,15 ,,386,219,11,178,4,"17,505","5,039",South America
109,2020-04-28,Sri Lanka,619,+31,7 ,,134,478,2,29,0.3,"17,715",827,Asia
110,2020-04-28,San Marino,553,+15,41 ,,64,448,5,"16,298","1,208","2,170","63,953",Europe
111,2020-04-28,Channel Islands,530,+5,36 ,+1,352,142,,"3,048",207,"5,342","30,725",Europe
112,2020-04-28,Guatemala,530,+30,15 ,,49,466,5,30,0.8,"7,200",402,North America
113,2020-04-28,Somalia,528,+48,28 ,+2,19,481,2,33,2,,,Africa
114,2020-04-28,Georgia,511,+14,6 ,,168,337,6,128,2,"11,504","2,884",Asia
115,2020-04-28,DRC,471,+12,30 ,+2,56,385,,5,0.3,,,Africa
116,2020-04-28,Mayotte,460,+59,4 ,,235,221,4,"1,686",15,"2,700","9,897",Africa
117,2020-04-28,Malta,458,+8,4 ,,303,151,1,"1,037",9,"30,528","69,139",Europe
118,2020-04-28,Jordan,449,,8 ,+1,348,93,5,44,0.8,"63,737","6,247",Asia
119,2020-04-28,Taiwan,429,,6 ,,307,116,,18,0.3,"61,684","2,590",Asia
120,2020-04-28,Mali,424,+16,24 ,+1,122,278,,21,1,"2,172",107,Africa
121,2020-04-28,Réunion,418,, ,,300,118,2,467,,,,Africa
122,2020-04-28,Kenya,374,+11,14 ,,124,236,2,7,0.3,"17,992",335,Africa
123,2020-04-28,Jamaica,364,+14,7 ,,29,328,3,123,2,"3,621","1,223",North America
124,2020-04-28,El Salvador,345,+22,8 ,,97,240,4,53,1,"21,364","3,294",North America
125,2020-04-28,Palestine,343,+1,2 ,,71,270,,67,0.4,"27,000","5,293",Asia
126,2020-04-28,Mauritius,334,,10 ,,303,21,3,263,8,"14,445","11,358",Africa
127,2020-04-28,Venezuela,329,,10 ,,142,177,3,12,0.4,"440,966","15,507",South America
128,2020-04-28,Montenegro,321,,7 ,,199,115,7,511,11,"6,864","10,929",Europe
129,2020-04-28,Sudan,318,+43,25 ,+3,31,262,,7,0.6,,,Africa
130,2020-04-28,Equatorial Guinea,315,+57,1 ,,9,305,,225,0.7,854,609,Africa
131,2020-04-28,Isle of Man,309,+1,21 ,+1,252,36,22,"3,634",247,"2,986","35,116",Europe
132,2020-04-28,Tanzania,299,,10 ,,48,241,7,5,0.2,,,Africa
133,2020-04-28,Vietnam,270,, ,,225,45,8,3,,"212,965","2,188",Asia
134,2020-04-28,Maldives,250,+24, ,,17,233,2,462,,"5,296","9,798",Asia
135,2020-04-28,Gabon,238,+27,3 ,,53,182,1,107,1,724,325,Africa
136,2020-04-28,Paraguay,230,+2,9  ,,95,126,1,32,1,"8,444","1,184",South America
137,2020-04-28,Rwanda,212,+5, ,,95,117,,16,,"8,464",653,Africa
138,2020-04-28,Congo,207,,8 ,,19,180,,38,1,,,Africa
139,2020-04-28,Faeroe Islands,187,, ,,181,6,,"3,827",,"6,730","137,732",Europe
140,2020-04-28,Martinique,175,,14 ,,83,78,5,466,37,,,North America
141,2020-04-28,Myanmar,150,+4,5 ,,16,129,,3,0.09,"7,215",133,Asia
142,2020-04-28,Guadeloupe,149,,12 ,,82,55,11,372,30,,,North America
143,2020-04-28,Liberia,141,+17,16 ,+4,45,80,,28,3,,,Africa
144,2020-04-28,Gibraltar,141,, ,,131,10,,"4,185",,"2,198","65,240",Europe
145,2020-04-28,Brunei ,138,,1 ,,124,13,2,315,2,"13,263","30,317",Asia
146,2020-04-28,Madagascar,128,, ,,82,46,1,5,,"2,357",85,Africa
147,2020-04-28,Ethiopia,126,+2,3 ,,50,73,,1,0.03,"15,668",136,Africa
148,2020-04-28,French Guiana,125,+14,1 ,,93,31,,419,3,,,South America
149,2020-04-28,Cambodia,122,, ,,119,3,1,7,,"11,721",701,Asia
150,2020-04-28,Trinidad and Tobago,116,,8 ,,59,49,,83,6,"1,596","1,140",North America
151,2020-04-28,Cabo Verde,114,+5,1 ,,2,111,,205,2,791,"1,423",Africa
152,2020-04-28,Bermuda,110,,6 ,,44,60,10,"1,766",96,"1,682","27,008",North America
153,2020-04-28,Sierra Leone,104,+5,4 ,,12,88,,13,0.5,,,Africa
154,2020-04-28,Aruba,100,,2 ,,73,25,4,937,19,"1,649","15,445",North America
155,2020-04-28,Togo,99,+1,6 ,,63,30,,12,0.7,"6,234",753,Africa
156,2020-04-28,Monaco,95,,4 ,,50,41,1,"2,421",102,,,Europe
157,2020-04-28,Zambia,95,+6,3 ,,42,50,1,5,0.2,"5,284",287,Africa
