,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot cases 1M pop,Tot Death 1M pop
0,3/26/2020,China,"81,218",47,"3,281",4,"73,650","4,287","1,399",56,2
1,3/26/2020,Italy,"74,386","5,210","7,503",683,"9,362","57,521","3,489","1,230",124
2,3/26/2020,USA,"68,211","13,355","1,027",247,394,"66,790","1,452",206,3
3,3/26/2020,Spain,"49,515","7,457","3,647",656,"5,367","40,501","3,166","1,059",78
4,3/26/2020,Germany,"37,323","4,332",206,47,"3,547","33,570",23,445,2
5,3/26/2020,Iran,"27,017","2,206","2,077",143,"9,625","15,315",,322,25
6,3/26/2020,France,"25,233","2,929","1,331",231,"3,900","20,002","2,827",387,20
7,3/26/2020,Switzerland,"10,897","1,020",153,31,131,"10,613",141,"1,259",18
8,3/26/2020,UK,"9,529","1,452",465,43,135,"8,929",163,140,7
9,3/26/2020,S. Korea,"9,137",100,126,6,"3,730","5,281",59,178,2
10,3/26/2020,Netherlands,"6,412",852,356,80,3,"6,053",582,374,21
11,3/26/2020,Austria,"5,588",305,31,3,9,"5,548",28,620,3
12,3/26/2020,Belgium,"4,937",668,178,56,547,"4,212",474,426,15
13,3/26/2020,Canada,"3,409",617,36,10,185,"3,188",1,90,1
14,3/26/2020,Norway,"3,084",218,14,2,6,"3,064",57,569,3
15,3/26/2020,Portugal,"2,995",633,43,10,22,"2,930",61,294,4
16,3/26/2020,Australia,"2,676",359,11,3,118,"2,547",11,105,0.4
17,3/26/2020,Brazil,"2,554",307,59,13,2,"2,493",18,12,0.3
18,3/26/2020,Sweden,"2,526",227,62,22,16,"2,448",158,250,6
19,3/26/2020,Turkey,"2,433",561,59,15,26,"2,348",136,29,0.7
20,3/26/2020,Israel,"2,369",439,5,2,58,"2,306",37,274,0.6
21,3/26/2020,Malaysia,"1,796",172,20,4,199,"1,577",64,55,0.6
22,3/26/2020,Denmark,"1,724",133,34,2,1,"1,689",87,298,6
23,3/26/2020,Czechia,"1,654",260,6,3,10,"1,638",19,154,0.6
24,3/26/2020,Ireland,"1,564",235,9,2,5,"1,550",39,317,2
25,3/26/2020,Luxembourg,"1,333",234,8,,6,"1,319",3,"2,129",13
26,3/26/2020,Japan,"1,307",114,45,2,310,952,57,10,0.4
27,3/26/2020,Ecuador,"1,211",129,29,2,3,"1,179",2,69,2
28,3/26/2020,Chile,"1,142",220,3,1,22,"1,117",7,60,0.2
29,3/26/2020,Pakistan,"1,063",91,8,1,21,"1,034",5,5,0.04
30,3/26/2020,Poland,"1,051",150,14,4,7,"1,030",3,28,0.4
31,3/26/2020,Thailand,934,107,4,,70,860,11,13,0.06
32,3/26/2020,Romania,906,112,17,5,86,803,18,47,0.9
33,3/26/2020,Saudi Arabia,900,133,2,1,29,869,,26,0.06
34,3/26/2020,Finland,880,88,3,2,10,867,22,159,0.5
35,3/26/2020,Greece,821,78,22,2,36,763,53,79,2
36,3/26/2020,Indonesia,790,104,58,3,31,701,,3,0.2
37,3/26/2020,Iceland,737,89,2,,56,679,11,"2,160",6
38,3/26/2020,Diamond Princess,712,,10,,597,105,15,,
39,3/26/2020,South Africa,709,155, ,,12,697,2,12,
40,3/26/2020,Russia,658,163,3,2,29,626,8,5,0.02
41,3/26/2020,India,657,121,12,2,43,602,,0.5,0.01
42,3/26/2020,Philippines,636,84,38,3,26,572,1,6,0.3
43,3/26/2020,Singapore,631,73,2,,160,469,17,108,0.3
44,3/26/2020,Panama,558,115,8,2,2,548,20,129,2
45,3/26/2020,Qatar,537,11, ,,41,496,6,186,
46,3/26/2020,Slovenia,528,48,5,1,10,513,14,254,2
47,3/26/2020,Argentina,502,115,8,2,52,442,,11,0.2
48,3/26/2020,Peru,480,64,9,2,1,470,9,15,0.3
49,3/26/2020,Colombia,470,92,4,1,8,458,,9,0.08
50,3/26/2020,Egypt,456,54,21,1,95,340,,4,0.2
51,3/26/2020,Croatia,442,60,1,,22,419,6,108,0.2
52,3/26/2020,Bahrain,419,27,4,1,177,238,2,246,2
53,3/26/2020,Hong Kong,411,24,4,,102,305,4,55,0.5
54,3/26/2020,Mexico,405,38,5,1,4,396,1,3,0.04
55,3/26/2020,Estonia,404,35,1,1,8,395,6,305,0.8
56,3/26/2020,Dominican Republic,392,80,10,4,3,379,,36,0.9
57,3/26/2020,Serbia,384,81,4,1,15,365,21,44,0.5
58,3/26/2020,Iraq,346,30,29,2,103,214,,9,0.7
59,3/26/2020,Lebanon,333,15,6,2,20,307,4,49,0.9
60,3/26/2020,UAE,333,85,2,,52,279,2,34,0.2
