,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot cases per 1M population,Total Deaths per 1M population
0,3/27/2020,China,"81,285",67,"3,287",6,"74,051","3,947","1,235",56,2
1,3/27/2020,USA,"85,435","17,224","1,295",268,"1,868","82,272","2,122",258,4
2,3/27/2020,Italy,"80,589","6,203","8,215",712,"10,361","62,013","3,612","1,333",136
3,3/27/2020,Spain,"57,786","8,271","4,365",718,"7,015","46,406","3,166","1,236",93
4,3/27/2020,Germany,"43,938","6,615",267,61,"5,673","37,998",23,524,3
5,3/27/2020,Iran,"29,406","2,389","2,234",157,"10,457","16,715","2,746",350,27
6,3/27/2020,France,"29,155","3,922","1,696",365,"4,948","22,511","3,375",447,26
7,3/27/2020,Switzerland,"11,811",914,192,39,131,"11,488",141,"1,365",22
8,3/27/2020,UK,"11,658","2,129",578,115,135,"10,945",163,172,9
9,3/27/2020,S. Korea,"9,241",104,131,5,"4,144","4,966",59,180,3
10,3/27/2020,Netherlands,"7,431","1,019",434,78,3,"6,994",761,434,25
11,3/27/2020,Austria,"6,909","1,321",49,18,112,"6,748",96,767,5
12,3/27/2020,Belgium,"6,235","1,298",220,42,675,"5,340",605,538,19
13,3/27/2020,Canada,"4,043",634,39,3,228,"3,776",120,107,1
14,3/27/2020,Turkey,"3,629","1,196",75,16,26,"3,528",136,43,0.9
15,3/27/2020,Portugal,"3,544",549,60,17,43,"3,441",61,348,6
16,3/27/2020,Norway,"3,372",288,14,,6,"3,352",70,622,3
17,3/27/2020,Australia,"3,050",374,13,2,170,"2,867",23,120,0.5
18,3/27/2020,Brazil,"2,985",431,77,18,6,"2,902",18,14,0.4
19,3/27/2020,Sweden,"2,840",314,77,15,16,"2,747",200,281,8
20,3/27/2020,Israel,"2,693",324,8,3,68,"2,617",46,311,0.9
21,3/27/2020,Malaysia,"2,031",235,23,3,215,"1,793",45,63,0.7
22,3/27/2020,Czechia,"1,925",271,9,3,10,"1,906",34,180,0.8
23,3/27/2020,Denmark,"1,877",153,41,7,1,"1,835",94,324,7
24,3/27/2020,Ireland,"1,819",255,19,10,5,"1,795",47,368,4
25,3/27/2020,Luxembourg,"1,453",120,9,1,6,"1,438",3,"2,321",14
26,3/27/2020,Ecuador,"1,403",192,34,5,3,"1,366",58,80,2
27,3/27/2020,Japan,"1,387",80,47,2,359,981,57,11,0.4
28,3/27/2020,Chile,"1,306",164,4,1,22,"1,280",7,68,0.2
29,3/27/2020,Poland,"1,221",170,16,2,7,"1,198",3,32,0.4
30,3/27/2020,Pakistan,"1,201",138,9,1,21,"1,171",5,5,0.04
31,3/27/2020,Thailand,"1,045",111,4,,88,953,4,15,0.06
32,3/27/2020,Romania,"1,029",123,23,6,94,912,29,53,1
33,3/27/2020,Saudi Arabia,"1,012",112,3,1,33,976,6,29,0.09
34,3/27/2020,Finland,958,78,5,2,10,943,24,173,0.9
35,3/27/2020,South Africa,927,218, ,,12,915,2,16,
36,3/27/2020,Indonesia,893,103,78,20,35,780,,3,0.3
37,3/27/2020,Greece,892,71,27,5,36,829,53,86,3
38,3/27/2020,Russia,840,182,3,,38,799,8,6,0.02
39,3/27/2020,Iceland,802,65,2,,82,718,11,"2,350",6
40,3/27/2020,India,727,70,20,8,45,662,,0.5,0.01
