,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population
0,2020-03-28,China,"81,340",+55,"3,292 ",+5,"74,588","3,460","1,034",57,2
1,2020-03-28,USA,"104,126","+18,691","1,696 ",+401,"2,522","99,908","2,463",315,5
2,2020-03-28,Italy,"86,498","+5,909","9,134 ",+919,"10,950","66,414","3,732","1,431",151
3,2020-03-28,Spain,"65,719","+7,933","5,138 ",+773,"9,357","51,224","4,165","1,406",110
4,2020-03-28,Germany,"50,871","+6,933",351 ,+84,"6,658","43,862","1,581",607,4
5,2020-03-28,France,"32,964","+3,809","1,995 ",+299,"5,700","25,269","3,787",505,31
6,2020-03-28,Iran,"32,332","+2,926","2,378 ",+144,"11,133","18,821","2,893",385,28
7,2020-03-28,UK,"14,543","+2,885",759 ,+181,135,"13,649",163,214,11
8,2020-03-28,Switzerland,"12,928","+1,117",231 ,+39,"1,530","11,167",203,"1,494",27
9,2020-03-28,S. Korea,"9,332",+91,139 ,+8,"4,528","4,665",59,182,3
10,2020-03-28,Netherlands,"8,603","+1,172",546 ,+112,3,"8,054",761,502,32
11,2020-03-28,Austria,"7,697",+788,58 ,+9,225,"7,414",128,855,6
12,2020-03-28,Belgium,"7,284","+1,049",289 ,+69,858,"6,137",690,628,25
13,2020-03-28,Turkey,"5,698","+2,069",92 ,+17,42,"5,564",241,68,1
14,2020-03-28,Canada,"4,757",+714,55 ,+16,354,"4,348",120,126,1
15,2020-03-28,Portugal,"4,268",+724,76 ,+16,43,"4,149",71,419,7
16,2020-03-28,Norway,"3,771",+399,19 ,+5,7,"3,745",70,696,4
17,2020-03-28,Brazil,"3,417",+432,92 ,+15,6,"3,319",296,16,0.4
18,2020-03-28,Australia,"3,378",+328,13 ,,170,"3,195",23,132,0.5
19,2020-03-28,Sweden,"3,069",+229,105 ,+28,16,"2,948",214,304,10
20,2020-03-28,Israel,"3,035",+342,12 ,+4,79,"2,944",49,351,1
21,2020-03-28,Czechia,"2,279",+354,9 ,,11,"2,259",34,213,0.8
22,2020-03-28,Malaysia,"2,161",+130,26 ,+3,259,"1,876",54,67,0.8
23,2020-03-28,Ireland,"2,121",+302,22 ,+3,5,"2,094",59,430,4
24,2020-03-28,Denmark,"2,046",+169,52 ,+11,1,"1,993",109,353,9
25,2020-03-28,Ecuador,"1,627",+224,41 ,+7,3,"1,583",58,92,2
26,2020-03-28,Chile,"1,610",+304,5 ,+1,43,"1,562",7,84,0.3
27,2020-03-28,Luxembourg,"1,605",+152,15 ,+6,40,"1,550",25,"2,564",24
28,2020-03-28,Japan,"1,499",+112,49 ,+2,372,"1,078",56,12,0.4
29,2020-03-28,Poland,"1,389",+168,16 ,,7,"1,366",3,37,0.4
30,2020-03-28,Pakistan,"1,373",+172,11 ,+2,23,"1,339",7,6,0.05
31,2020-03-28,Romania,"1,292",+263,26 ,+3,115,"1,151",32,67,1
32,2020-03-28,South Africa,"1,170",+243,1 ,+1,31,"1,138",7,20,0.02
33,2020-03-28,Thailand,"1,136",+91,5 ,+1,97,"1,034",11,16,0.07
34,2020-03-28,Saudi Arabia,"1,104",+92,3 ,,35,"1,066",6,32,0.09
35,2020-03-28,Indonesia,"1,046",+153,87 ,+9,46,913,,4,0.3
36,2020-03-28,Finland,"1,041",+83,7 ,+2,10,"1,024",32,188,1
37,2020-03-28,Russia,"1,036",+196,4 ,+1,45,987,8,7,0.03
38,2020-03-28,Greece,966,+74,28 ,+1,52,886,66,93,3
39,2020-03-28,Iceland,890,+88,2 ,,97,791,18,"2,608",6
40,2020-03-28,India,887,+160,20 ,,73,794,,0.6,0.01
41,2020-03-28,Philippines,803,+96,54 ,+9,31,718,1,7,0.5
42,2020-03-28,Panama,786,+112,14 ,+5,2,770,20,182,3
43,2020-03-28,Singapore,732,+49,2 ,,183,547,17,125,0.3
44,2020-03-28,Diamond Princess,712,,10 ,,597,105,15,,
45,2020-03-28,Peru,635,+55,11 ,+2,16,608,21,19,0.3
46,2020-03-28,Slovenia,632,+70,9 ,+3,10,613,14,304,4
47,2020-03-28,Argentina,589,,13 ,+1,72,504,,13,0.3
48,2020-03-28,Croatia,586,+91,3 ,,37,546,14,143,0.7
49,2020-03-28,Mexico,585,+110,8 ,+2,4,573,1,5,0.06
50,2020-03-28,Dominican Republic,581,+93,20 ,+10,3,558,,54,2
51,2020-03-28,Estonia,575,+37,1 ,,11,563,7,433,0.8
52,2020-03-28,Qatar,562,+13, ,,43,519,6,195,
53,2020-03-28,Colombia,539,+48,6 ,,10,523,,11,0.1
54,2020-03-28,Egypt,536,+41,30 ,+6,116,390,,5,0.3
55,2020-03-28,Serbia,528,+71,8 ,+1,42,478,25,60,0.9
56,2020-03-28,Hong Kong,519,+65,4 ,,111,404,5,69,0.5
57,2020-03-28,Bahrain,466,+8,4 ,,227,235,1,274,2
58,2020-03-28,Iraq,458,+76,40 ,+4,122,296,,11,1.0
59,2020-03-28,Algeria,409,+42,26 ,+1,29,354,,9,0.6
60,2020-03-28,UAE,405,+72,2 ,,52,351,2,41,0.2
61,2020-03-28,Lebanon,391,+23,8 ,+2,27,356,3,57,1
62,2020-03-28,New Zealand,368,, ,,37,331,1,76,
63,2020-03-28,Lithuania,358,+59,5 ,+1,1,352,2,132,2
64,2020-03-28,Morocco,345,+70,23 ,+12,11,311,1,9,0.6
65,2020-03-28,Armenia,329,+39,1 ,,28,300,6,111,0.3
66,2020-03-28,Ukraine,310,+114,5 ,,5,300,,7,0.1
67,2020-03-28,Hungary,300,+39,10 ,,34,256,6,31,1
68,2020-03-28,Bulgaria,293,+29,3 ,,9,281,8,42,0.4
69,2020-03-28,Latvia,280,+36, ,,1,279,,148,
70,2020-03-28,Slovakia,269,+43, ,,2,267,1,49,
71,2020-03-28,Andorra,267,+43,3 ,,1,263,11,"3,456",39
72,2020-03-28,Taiwan,267,+15,2 ,,30,235,,11,0.08
73,2020-03-28,Costa Rica,263,+32,2 ,,3,258,5,52,0.4
74,2020-03-28,Uruguay,238,, ,,,238,3,69,
75,2020-03-28,Bosnia and Herzegovina,237,+46,4 ,+1,5,228,1,72,1
76,2020-03-28,Jordan,235,+23,1 ,+1,18,216,,23,0.10
77,2020-03-28,Tunisia,227,+30,7 ,+2,2,218,10,19,0.6
78,2020-03-28,Kuwait,225,+17, ,,57,168,11,53,
79,2020-03-28,San Marino,223,+15,21 ,,6,196,15,"6,572",619
80,2020-03-28,North Macedonia,219,+18,3 ,,3,213,1,105,1
81,2020-03-28,Moldova,199,+22,2 ,+1,2,195,33,49,0.5
82,2020-03-28,Albania,186,+12,8 ,+2,31,147,3,65,3
83,2020-03-28,Burkina Faso,180,+28,9 ,+2,12,159,,9,0.4
84,2020-03-28,Azerbaijan,165,+43,3 ,,15,147,6,16,0.3
85,2020-03-28,Vietnam,163,+10, ,,20,143,3,2,
86,2020-03-28,Cyprus,162,+16,5 ,+2,15,142,3,134,4
87,2020-03-28,Kazakhstan,150,+37,1 ,,3,146,,8,0.05
88,2020-03-28,Réunion,145,+10, ,,1,144,,162,
89,2020-03-28,Faeroe Islands,144,+4, ,,54,90,2,"2,947",
90,2020-03-28,Malta,139,+5, ,,2,137,1,315,
91,2020-03-28,Ghana,137,+5,4 ,,2,131,1,4,0.1
92,2020-03-28,Oman,131,+22, ,,23,108,,26,
93,2020-03-28,Senegal,119,+14, ,,11,108,,7,
94,2020-03-28,Brunei ,115,+1, ,,11,104,1,263,
95,2020-03-28,Venezuela,113,+6,2  ,+1,31,80,2,4,0.07
96,2020-03-28,Afghanistan,110,+16,4 ,,2,104,,3,0.1
97,2020-03-28,Sri Lanka,106,, ,,7,99,5,5,
98,2020-03-28,Ivory Coast,101,+5, ,,3,98,,4,
99,2020-03-28,Cambodia,99,+1, ,,11,88,1,6,
100,2020-03-28,Mauritius,94,+13,2 ,,,92,1,74,2
101,2020-03-28,Belarus,94,+8, ,,32,62,2,10,
102,2020-03-28,Martinique,93,+12,1 ,,,92,12,248,3
103,2020-03-28,Cameroon,91,+16,2 ,+1,2,87,,3,0.08
104,2020-03-28,Palestine,91,+5,1 ,,17,73,,18,0.2
105,2020-03-28,Channel Islands,88,+22,1 ,,,87,,506,6
106,2020-03-28,Uzbekistan,88,+13,1 ,+1,5,82,8,3,0.03
107,2020-03-28,Georgia,83,+4, ,,14,69,1,21,
108,2020-03-28,Montenegro,82,+13,1 ,,,81,1,131,2
109,2020-03-28,Cuba,80,+13,2 ,,4,74,2,7,0.2
110,2020-03-28,Guadeloupe,73,,1 ,,,72,4,182,2
111,2020-03-28,Nigeria,70,+5,1 ,,3,66,,0.3,0.00
112,2020-03-28,Honduras,68,+1,1 ,,,67,4,7,0.1
113,2020-03-28,Trinidad and Tobago,66,+1,2 ,+1,1,63,,47,1
114,2020-03-28,Bolivia,61,, ,,,61,,5,
115,2020-03-28,Kyrgyzstan,58,+14, ,,,58,,9,
116,2020-03-28,Liechtenstein,56,, ,,,56,,"1,469",
117,2020-03-28,Gibraltar,55,+20, ,,14,41,,"1,632",
118,2020-03-28,Rwanda,54,+4, ,,,54,,4,
119,2020-03-28,Paraguay,52,+11,3 ,,1,48,1,7,0.4
120,2020-03-28,DRC,51,,3 ,,2,46,,0.6,0.03
121,2020-03-28,Mayotte,50,+14, ,,,50,,183,
122,2020-03-28,Bangladesh,48,+4,5 ,,11,32,1,0.3,0.03
