,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
0,2020-04-02,China,"81,554",+36,"3,312 ",+7,"76,238","2,004",466,57,2,"
Jan 10 "
1,2020-04-02,USA,"215,003","+26,473","5,102 ","+1,049","8,878","201,023","5,005",650,15,"
Jan 20 "
2,2020-04-02,Italy,"110,574","+4,782","13,155 ",+727,"16,847","80,572","4,035","1,829",218,"
Jan 29 "
3,2020-04-02,Spain,"104,118","+8,195","9,387 ",+923,"22,647","72,084","5,872","2,227",201,"
Jan 30 "
4,2020-04-02,Germany,"77,981","+6,173",931  ,+156,"18,700","58,350","3,408",931,11,"
Jan 26 "
5,2020-04-02,France,"56,989","+4,861","4,032 ",+509,"10,935","42,022","6,017",873,62,"
Jan 23 "
6,2020-04-02,Iran,"47,593","+2,988","3,036 ",+138,"15,473","29,084","3,871",567,36,"
Feb 18 "
7,2020-04-02,UK,"29,474","+4,324","2,352 ",+563,135,"26,987",163,434,35,"
Jan 30 "
8,2020-04-02,Switzerland,"17,768","+1,163",488 ,+55,"2,967","14,313",348,"2,053",56,"
Feb 24 "
9,2020-04-02,Turkey,"15,679","+2,148",277 ,+63,333,"15,069",847,186,3,"
Mar 09 "
10,2020-04-02,Belgium,"13,964","+1,189",828 ,+123,"2,132","11,004","1,088","1,205",71,"
Feb 03 "
11,2020-04-02,Netherlands,"13,614","+1,019","1,173 ",+134,250,"12,191","1,053",795,68,"
Feb 26 "
12,2020-04-02,Austria,"10,711",+531,146 ,+18,"1,436","9,129",215,"1,189",16,"
Feb 24 "
13,2020-04-02,S. Korea,"9,887",+101,165 ,+3,"5,567","4,155",55,193,3,"
Jan 19 "
14,2020-04-02,Canada,"9,731","+1,119",114 ,+13,"1,736","7,881",120,258,3,"
Jan 24 "
15,2020-04-02,Portugal,"8,251",+808,187 ,+27,43,"8,021",230,809,18,"
Mar 01 "
16,2020-04-02,Brazil,"6,880","+1,163",242 ,+41,127,"6,511",296,32,1,"
Feb 24 "
17,2020-04-02,Israel,"6,092",+734,26 ,+6,241,"5,825",95,704,3,"
Feb 20 "
18,2020-04-02,Australia,"5,048",+285,23 ,+3,345,"4,680",50,198,0.9,"
Jan 24 "
19,2020-04-02,Sweden,"4,947",+512,239 ,+59,103,"4,605",393,490,24,"
Jan 30 "
