0,Date,Country,Total0cases,New0Cases,Total0Deaths,New0Deaths,Total0Recovered,Active0Cases,Serious,Tot0cases0per01M0population,Total0Deaths0per01M0population
0,4/3/2020,China,"81,620",31,"3,322",4,"76,571","1,727",379,57,2
1,4/3/2020,USA,"277,161","32,284","7,392","1,321","12,283","257,486","5,787",837,22
2,4/3/2020,Italy,"119,827","4,585","14,681",766,"19,758","85,388","4,068","1,982",243
3,4/3/2020,Spain,"119,199","7,134","11,198",850,"30,513","77,488","6,416","2,549",240
4,4/3/2020,Germany,"91,159","6,365","1,275",168,"24,575","65,309","3,936","1,088",15
5,4/3/2020,France,"64,338","5,233","6,507","1,120","14,008","43,823","6,662",986,100
6,4/3/2020,Iran,"53,183","2,715","3,294",134,"17,935","31,954","4,035",633,39
7,4/3/2020,UK,"38,168","4,450","3,605",684,135,"34,428",163,562,53
8,4/3/2020,Turkey,"20,921","2,786",425,69,484,"20,012","1,251",248,5
9,4/3/2020,Switzerland,"19,606",779,591,55,"4,846","14,169",348,"2,265",68
10,4/3/2020,Belgium,"16,770","1,422","1,143",132,"2,872","12,755","1,205","1,447",99
11,4/3/2020,Netherlands,"15,723","1,026","1,487",148,250,"13,986","1,324",918,87
12,4/3/2020,Canada,"12,375","1,092",208,35,"2,186","9,981",120,328,6
13,4/3/2020,Austria,"11,524",395,168,10,"2,022","9,334",245,"1,280",19
14,4/3/2020,S.0Korea,"10,062",86,174,5,"6,021","3,867",55,196,3
15,4/3/2020,Portugal,"9,886",852,246,37,68,"9,572",245,970,24
16,4/3/2020,Brazil,"9,194","1,150",363,39,127,"8,704",296,43,2
17,4/3/2020,Israel,"7,428",571,40,4,403,"6,985",113,858,5
18,4/3/2020,Sweden,"6,131",563,358,50,205,"5,568",469,607,35
19,4/3/2020,Australia,"5,454",140,28,3,585,"4,841",85,214,1
20,4/3/2020,Norway,"5,370",223,59,9,32,"5,279",96,991,11
21,4/3/2020,Ireland,"4,273",424,120,22,25,"4,128",148,865,24
22,4/3/2020,Czechia,"4,190",332,53,9,72,"4,065",77,391,5
23,4/3/2020,Russia,"4,149",601,34,4,281,"3,834",8,28,0.2
24,4/3/2020,Denmark,"3,757",371,139,16,"1,193","2,425",153,649,24
25,4/3/2020,Chile,"3,737",333,22,4,427,"3,288",31,195,1
26,4/3/2020,Poland,"3,383",437,71,14,56,"3,256",50,89,2
27,4/3/2020,Ecuador,"3,368",205,145,25,65,"3,158",100,191,8
28,4/3/2020,Malaysia,"3,333",217,53,3,827,"2,453",108,103,2
29,4/3/2020,Romania,"3,183",445,133,18,283,"2,767",83,165,7
30,4/3/2020,Philippines,"3,018",385,136,29,52,"2,830",1,28,1
