0,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total_Test,Test_test/1M_Population
0,4/4/2020,World,"1,201,443","84,800","64,688","5,801","246,258","890,497","42,324",154,8.3,0,0
1,4/4/2020,China,"81,639",19,"3,326",4,"76,755","1,558",331,57,2,,
2,4/4/2020,USA,"311,357","34,196","8,452","1,331","14,825","288,080","8,206",941,26,"1,632,955","4,933"
3,4/4/2020,Spain,"126,168","6,969","11,947",749,"34,219","80,002","6,532","2,699",256,"355,000","7,593"
4,4/4/2020,Italy,"124,632","4,805","15,362",681,"20,996","88,274","3,994","2,061",254,"657,224","10,870"
5,4/4/2020,Germany,"96,092","4,933","1,444",169,"26,400","68,248","3,936","1,147",17,"918,460","10,962"
6,4/4/2020,France,"89,953","7,788","7,560","1,053","15,438","66,955","6,838","1,378",116,"224,254","3,436"
7,4/4/2020,Iran,"55,743","2,560","3,452",158,"19,736","32,555","4,103",664,41,"186,000","2,214"
8,4/4/2020,UK,"41,903","3,735","4,313",708,135,"37,455",163,617,64,"183,190","2,698"
9,4/4/2020,Turkey,"23,934","3,013",501,76,786,"22,647","1,311",284,6,"161,380","1,913"
10,4/4/2020,Switzerland,"20,505",899,666,75,"6,415","13,424",391,"2,369",77,"153,440","17,729"
11,4/4/2020,Belgium,"18,431","1,661","1,283",140,"3,247","13,901","1,245","1,590",111,"70,000","6,040"
12,4/4/2020,Netherlands,"16,627",904,"1,651",164,250,"14,726","1,360",970,96,"75,415","4,401"
13,4/4/2020,Canada,"13,912","1,537",231,23,"2,595","11,086",120,369,6,"317,972","8,425"
14,4/4/2020,Austria,"11,781",257,186,18,"2,507","9,088",245,"1,308",21,"104,134","11,562"
15,4/4/2020,Portugal,"10,524",638,266,20,75,"10,183",251,"1,032",26,"81,087","7,952"
16,4/4/2020,Brazil,"10,360","1,166",445,82,127,"9,788",296,49,2,"54,824",258
17,4/4/2020,S.0Korea,"10,156",94,177,3,"6,325","3,654",55,198,3,"455,032","8,875"
18,4/4/2020,Israel,"7,851",423,44,4,427,"7,380",115,907,5,"90,394","10,443"
19,4/4/2020,Sweden,"6,443",312,373,15,205,"5,865",379,638,37,"36,900","3,654"
20,4/4/2020,Norway,"5,550",180,62,3,32,"5,456",98,"1,024",11,"105,865","19,528"
21,4/4/2020,Australia,"5,550",96,30,2,585,"4,935",85,218,1,"286,786","11,247"
22,4/4/2020,Russia,"4,731",582,43,9,333,"4,355",8,32,0.3,"639,606","4,383"
23,4/4/2020,Ireland,"4,604",331,137,17,25,"4,442",148,932,28,"30,213","6,119"
24,4/4/2020,Czechia,"4,472",282,59,6,78,"4,335",87,418,6,"74,170","6,926"
25,4/4/2020,Chile,"4,161",424,27,5,528,"3,606",38,218,1,"48,613","2,543"
26,4/4/2020,Denmark,"4,077",320,161,22,"1,283","2,633",142,704,28,"45,270","7,816"
27,4/4/2020,Poland,"3,627",244,79,8,116,"3,432",50,96,2,"72,901","1,926"
28,4/4/2020,Romania,"3,613",430,146,13,329,"3,138",119,188,8,"36,092","1,876"
29,4/4/2020,India,"3,588",529,99,13,229,"3,260",,3,0.07,"116,608",84
30,4/4/2020,Malaysia,"3,483",150,57,4,915,"2,511",99,108,2,"49,570","1,532"
31,4/4/2020,Ecuador,"3,465",97,172,27,100,"3,193",100,196,10,"11,309",641
32,4/4/2020,Japan,"3,139",204,77,8,514,"2,548",64,25,0.6,"42,882",339
33,4/4/2020,Philippines,"3,094",76,144,8,57,"2,893",1,28,1,"5,530",50
34,4/4/2020,Pakistan,"2,818",132,41,1,131,"2,646",13,13,0.2,"30,308",137
35,4/4/2020,Luxembourg,"2,729",117,31,,500,"2,198",35,"4,360",50,"22,793","36,412"
36,4/4/2020,Saudi0Arabia,"2,179",140,29,4,420,"1,730",41,63,0.8,,
37,4/4/2020,Indonesia,"2,092",106,191,10,150,"1,751",,8,0.7,"7,896",29
38,4/4/2020,Thailand,"2,067",89,20,1,674,"1,373",23,30,0.3,"23,669",339
39,4/4/2020,Finland,"1,882",267,25,5,300,"1,557",72,340,5,"29,000","5,234"
40,4/4/2020,Panama,"1,801",128,46,5,13,"1,742",50,417,11,"7,333","1,700"
41,4/4/2020,Peru,"1,746",151,73,12,914,759,88,53,2,"17,841",541
42,4/4/2020,Mexico,"1,688",178,60,10,633,995,1,13,0.5,"15,668",122
43,4/4/2020,Greece,"1,673",60,68,5,78,"1,527",92,161,7,"22,437","2,153"
44,4/4/2020,Serbia,"1,624",148,44,5,54,"1,526",89,186,5,"6,401",733
45,4/4/2020,South0Africa,"1,585",80,9,,95,"1,481",7,27,0.2,"53,937",909
46,4/4/2020,Dominican0Republic,"1,578",90,77,9,17,"1,484",147,145,7,"4,542",419
47,4/4/2020,UAE,"1,505",241,10,1,125,"1,370",2,152,1,"220,000","22,244"
48,4/4/2020,Argentina,"1,451",98,43,1,279,"1,129",,32,1,"8,488",188
