0,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total0Test,Test0test/1M0Population
0,4/5/2020,World,1272861,71408,69424,4737,262217,941220,45619,163,9,0,0
1,4/5/2020,China,81669,30,3329,3,76964,1376,295,57,2,0,0
2,4/5/2020,USA,336673,25316,9616,1165,17977,309080,8702,1017,29,"1,772,369","5,355"
3,4/5/2020,Spain,131646,5478,12641,694,38080,80925,6861,2816,270,"355,000","7,593"
4,4/5/2020,Italy,128948,4316,15887,525,21815,91246,3977,2133,263,"691,461","11,436"
5,4/5/2020,Germany,100123,4031,1584,140,28700,69839,3936,1195,19,"918,460","10,962"
6,4/5/2020,France,92839,2886,8078,518,16183,68578,6838,1422,124,"224,254","3,436"
7,4/5/2020,Iran,58226,2483,3603,151,19736,34887,4103,693,43,"186,000","2,214"
8,4/5/2020,UK,47806,5903,4934,621,135,42737,1559,704,73,"195,524","2,880"
9,4/5/2020,Turkey,27069,3135,574,73,1042,25453,1381,321,7,"181,445","2,151"
10,4/5/2020,Switzerland,21100,595,715,49,6415,13970,391,2438,83,"158,000","18,256"
11,4/5/2020,Belgium,19691,1260,1447,164,3751,14493,1261,1699,125,"70,000","6,040"
12,4/5/2020,Netherlands,17851,1224,1766,115,250,15835,1385,1042,103,"75,415","4,401"
13,4/5/2020,Canada,15512,1600,280,49,2942,12290,426,411,7,"330,901","8,767"
14,4/5/2020,Austria,12051,270,204,18,2998,8849,244,1338,23,"108,416","12,038"
15,4/5/2020,Portugal,11278,754,295,29,75,10908,267,1106,29,"86,370","8,470"
16,4/5/2020,Brazil,11254,894,486,41,127,10641,296,53,2,"54,824",258
17,4/5/2020,S.0Korea,10237,81,183,6,6463,3591,55,200,4,"461,233","8,996"
18,4/5/2020,Israel,8430,579,49,5,477,7904,139,974,6,"109,724","12,677"
19,4/5/2020,Sweden,6830,387,401,28,205,6224,541,676,40,"36,900","3,654"
20,4/5/2020,Australia,5750,200,37,7,2315,3398,91,225,1,"297,154","11,653"
21,4/5/2020,Norway,5687,137,71,9,32,5584,89,1049,13,"105,865","19,528"
