,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population
0,2020-04-07,World,"1,430,919","+84,915","82,034","+7,380","301,905","1,046,980","47,913",184,10.5,,
1,2020-04-07,China,"81,740",+32,"3,331 ",,"77,167","1,242",211,57,2,,
2,2020-04-07,USA,"400,335","+33,331","12,841 ","+1,970","21,674","365,820","9,169","1,209",39,"2,075,739","6,271"
3,2020-04-07,Spain,"141,942","+5,267","14,045 ",+704,"43,208","84,689","7,069","3,036",300,"355,000","7,593"
4,2020-04-07,Italy,"135,586","+3,039","17,127 ",+604,"24,392","94,067","3,792","2,243",283,"755,445","12,495"
5,2020-04-07,France,"109,069","+11,059","10,328 ","+1,417","19,337","79,404","7,131","1,671",158,"224,254","3,436"
6,2020-04-07,Germany,"107,663","+4,288","2,016 ",+206,"36,081","69,566","4,895","1,285",24,"918,460","10,962"
7,2020-04-07,Iran,"62,589","+2,089","3,872 ",+133,"27,039","31,678","3,987",745,46,"211,136","2,514"
8,2020-04-07,UK,"55,242","+3,634","6,159 ",+786,135,"48,948","1,559",814,91,"266,694","3,929"
9,2020-04-07,Turkey,"34,109","+3,892",725 ,+76,"1,582","31,802","1,474",404,9,"228,868","2,714"
10,2020-04-07,Switzerland,"22,253",+596,821 ,+56,"8,704","12,728",391,"2,571",95,"167,429","19,346"
11,2020-04-07,Belgium,"22,194","+1,380","2,035 ",+403,"4,157","16,002","1,260","1,915",176,"80,512","6,947"
12,2020-04-07,Netherlands,"19,580",+777,"2,101 ",+234,250,"17,229","1,424","1,143",123,"86,589","5,053"
13,2020-04-07,Canada,"17,897","+1,230",381 ,+58,"4,028","13,488",426,474,10,"346,507","9,181"
14,2020-04-07,Brazil,"14,034","+1,851",686 ,+122,127,"13,221",296,66,3,"54,824",258
15,2020-04-07,Austria,"12,639",+342,243 ,+23,"4,046","8,350",243,"1,403",27,"115,235","12,795"
16,2020-04-07,Portugal,"12,442",+712,345 ,+34,184,"11,913",271,"1,220",34,"121,256","11,892"
17,2020-04-07,S. Korea,"10,331",+47,192 ,+6,"6,694","3,445",55,202,4,"477,304","9,310"
18,2020-04-07,Israel,"9,248",+344,65 ,+8,770,"8,413",149,"1,068",8,"117,339","13,557"
19,2020-04-07,Sweden,"7,693",+487,591 ,+114,205,"6,897",640,762,59,"54,700","5,416"
20,2020-04-07,Russia,"7,497","+1,154",58 ,+11,494,"6,945",8,51,0.4,"795,000","5,448"
21,2020-04-07,Norway,"6,086",+221,89 ,+13,32,"5,965",78,"1,123",16,"113,896","21,009"
22,2020-04-07,Australia,"5,988",+93,49 ,+4,"2,547","3,392",93,235,2,"310,700","12,184"
23,2020-04-07,Ireland,"5,709",+345,210 ,+36,25,"5,474",165,"1,156",43,"42,484","8,604"
24,2020-04-07,India,"5,351",+573,160 ,+24,468,"4,723",,4,0.1,"140,293",102
25,2020-04-07,Chile,"5,116",+301,43 ,+6,898,"4,175",337,268,2,"57,122","2,988"
26,2020-04-07,Denmark,"5,071",+390,203 ,+16,"1,491","3,377",127,875,35,"58,419","10,086"
27,2020-04-07,Czechia,"5,017",+195,88 ,+10,172,"4,757",86,468,8,"91,247","8,521"
28,2020-04-07,Poland,"4,848",+435,129 ,+22,191,"4,528",50,128,3,"92,215","2,437"
29,2020-04-07,Romania,"4,417",+360,197 ,+21,460,"3,760",274,230,10,"43,578","2,265"
30,2020-04-07,Japan,"4,257",+351,93 ,+1,622,"3,542",80,34,0.7,"55,311",437
31,2020-04-07,Pakistan,"4,035",+269,57 ,+4,429,"3,549",28,18,0.3,"39,183",177
32,2020-04-07,Ecuador,"3,995",+248,220 ,+29,140,"3,635",156,226,12,"14,406",817
33,2020-04-07,Malaysia,"3,963",+170,63 ,+1,"1,321","2,579",92,122,2,"55,566","1,717"
34,2020-04-07,Philippines,"3,764",+104,177 ,+14,84,"3,503",1,34,2,"22,958",210
35,2020-04-07,Luxembourg,"2,970",+127,44 ,+3,500,"2,426",35,"4,745",70,"25,702","41,059"
36,2020-04-07,Peru,"2,954",+393,107 ,+15,"1,301","1,546",109,90,3,"21,555",654
