,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-27,"
Asia
","483,226","+10,951","17,588",+345,"236,575","229,063","5,981",,,,,Asia
1,2020-04-27,"
North America
","1,090,796","+26,193","61,549","+1,594","168,606","860,641","15,449",,,,,North America
2,2020-04-27,"
Europe
","1,301,271","+24,463","123,997","+2,112","446,464","730,810","24,907",,,,,Europe
3,2020-04-27,"
South America
","144,174","+6,254","6,730",+441,"51,611","85,833","9,772",,,,,South America
4,2020-04-27,"
Oceania
","8,290",+4,102,+1,"6,838","1,350",46,,,,,Australia/Oceania
5,2020-04-27,"
Africa
","33,998","+1,341","1,468",+39,"10,575","21,955",138,,,,,Africa
6,2020-04-27,"

",721,,15,,645,61,4,,,,,
7,2020-04-27,World,"3,062,476","+69,206","211,449","+4,532","921,314","1,929,713","56,297",393,27.1,,,All
8,2020-04-27,China,"82,830",+3,"4,633 ",+1,"77,474",723,52,58,3,,,Asia
9,2020-04-27,USA,"1,010,356","+23,196","56,797 ","+1,384","138,990","814,569","14,186","3,052",172,"5,696,928","17,211",North America
10,2020-04-27,Spain,"229,422","+2,793","23,521 ",+331,"120,832","85,069","7,764","4,907",503,"1,345,560","28,779",Europe
11,2020-04-27,Italy,"199,414","+1,739","26,977 ",+333,"66,624","105,813","1,956","3,298",446,"1,789,662","29,600",Europe
12,2020-04-27,France,"165,842","+3,742","23,293 ",+437,"45,513","97,036","4,608","2,541",357,"463,662","7,103",Europe
13,2020-04-27,Germany,"158,758",+988,"6,126 ",+150,"114,500","38,132","2,409","1,895",73,"2,072,669","24,738",Europe
14,2020-04-27,UK,"157,149","+4,309","21,092 ",+360,N/A,"135,713","1,559","2,315",311,"719,910","10,605",Europe
15,2020-04-27,Turkey,"112,261","+2,131","2,900 ",+95,"33,791","75,570","1,736","1,331",34,"918,885","10,895",Asia
16,2020-04-27,Iran,"91,472",+991,"5,806 ",+96,"70,933","14,733","3,011","1,089",69,"432,329","5,147",Asia
17,2020-04-27,Russia,"87,147","+6,198",794 ,+47,"7,346","79,007","2,300",597,5,"3,019,434","20,690",Europe
18,2020-04-27,Brazil,"66,501","+3,642","4,543 ",+272,"31,142","30,816","8,318",313,21,"291,922","1,373",South America
19,2020-04-27,Canada,"48,500","+1,605","2,707 ",+147,"18,268","27,525",557,"1,285",72,"717,451","19,009",North America
20,2020-04-27,Belgium,"46,687",+553,"7,207 ",+113,"10,878","28,602",903,"4,028",622,"214,042","18,468",Europe
21,2020-04-27,Netherlands,"38,245",+400,"4,518 ",+43,N/A,"33,477",905,"2,232",264,"193,950","11,319",Europe
22,2020-04-27,India,"29,451","+1,561",939 ,+58,"7,137","21,375",,21,0.7,"665,819",482,Asia
23,2020-04-27,Switzerland,"29,164",+103,"1,665 ",+55,"22,200","5,299",185,"3,370",192,"245,300","28,343",Europe
24,2020-04-27,Peru,"28,699","+1,182",782 ,+54,"8,425","19,492",598,870,24,"239,563","7,266",South America
25,2020-04-27,Portugal,"24,027",+163,928 ,+25,"1,357","21,742",176,"2,356",91,"360,155","35,321",Europe
26,2020-04-27,Ecuador,"23,240",+521,663 ,+87,"1,557","21,020",146,"1,317",38,"61,529","3,487",South America
27,2020-04-27,Ireland,"19,648",+386,"1,102 ",+15,"9,233","9,313",146,"3,979",223,"127,319","25,785",Europe
28,2020-04-27,Sweden,"18,926",+286,"2,274 ",+80,"1,005","15,647",399,"1,874",225,"94,500","9,357",Europe
29,2020-04-27,Saudi Arabia,"18,811","+1,289",144 ,+5,"2,531","16,136",117,540,4,"200,000","5,745",Asia
30,2020-04-27,Israel,"15,555",+112,204 ,+3,"7,200","8,151",129,"1,797",24,"302,691","34,971",Asia
31,2020-04-27,Austria,"15,274",+49,549 ,+7,"12,362","2,363",140,"1,696",61,"232,537","25,819",Europe
32,2020-04-27,Mexico,"14,677",+835,"1,351 ",+46,"8,354","4,972",378,114,10,"67,635",525,North America
33,2020-04-27,Singapore,"14,423",+799,14 ,+2,"1,095","13,314",20,"2,465",2,"121,774","20,815",Asia
34,2020-04-27,Pakistan,"13,915",+587,292 ,+11,"3,029","10,594",111,63,1,"150,756",682,Asia
35,2020-04-27,Chile,"13,813",+482,198 ,+9,"7,327","6,288",426,723,10,"161,235","8,434",South America
36,2020-04-27,Japan,"13,614",+165,385 ,+13,"1,899","11,330",300,108,3,"150,692","1,191",Asia
37,2020-04-27,Poland,"11,902",+285,562 ,+27,"2,466","8,874",160,314,15,"297,859","7,870",Europe
38,2020-04-27,Romania,"11,339",+303,641 ,+22,"3,141","7,557",227,589,33,"143,834","7,477",Europe
39,2020-04-27,Belarus,"11,289",+826,75 ,+3,"1,740","9,474",92,"1,195",8,"153,845","16,281",Europe
40,2020-04-27,Qatar,"11,244",+957,10 ,,"1,066","10,168",72,"3,903",3,"85,709","29,749",Asia
41,2020-04-27,UAE,"10,839",+490,82 ,+6,"2,090","8,667",1,"1,096",8,"1,057,326","106,904",Asia
42,2020-04-27,S. Korea,"10,738",+10,243 ,+1,"8,764","1,731",55,209,5,"601,660","11,735",Asia
43,2020-04-27,Indonesia,"9,096",+214,765 ,+22,"1,151","7,180",,33,3,"75,157",275,Asia
44,2020-04-27,Ukraine,"9,009",+392,220 ,+11,864,"7,925",110,206,5,"93,519","2,138",Europe
45,2020-04-27,Denmark,"8,698",+123,427 ,+5,"5,959","2,312",72,"1,502",74,"155,810","26,900",Europe
46,2020-04-27,Serbia,"8,275",+233,162 ,+6,"1,209","6,904",85,947,19,"67,917","7,773",Europe
47,2020-04-27,Philippines,"7,777",+198,511 ,+10,932,"6,334",31,71,5,"89,889",820,Asia
48,2020-04-27,Norway,"7,599",+72,205 ,+4,32,"7,362",52,"1,402",38,"164,316","30,310",Europe
49,2020-04-27,Czechia,"7,445",+41,223 ,+3,"2,826","4,396",73,695,21,"218,474","20,401",Europe
50,2020-04-27,Australia,"6,720",+4,83 ,,"5,586","1,051",43,264,3,"517,063","20,277",Australia/Oceania
51,2020-04-27,Dominican Republic,"6,293",+158,282 ,+4,993,"5,018",144,580,26,"22,498","2,074",North America
52,2020-04-27,Bangladesh,"5,913",+497,152 ,+7,131,"5,630",1,36,0.9,"50,401",306,Asia
53,2020-04-27,Malaysia,"5,820",+40,99 ,+1,"3,957","1,764",37,180,3,"144,686","4,470",Asia
54,2020-04-27,Panama,"5,779",+241,165 ,+6,369,"5,245",85,"1,339",38,"26,642","6,175",North America
55,2020-04-27,Colombia,"5,597",+218,253 ,+9,"1,210","4,134",118,110,5,"90,899","1,786",South America
56,2020-04-27,South Africa,"4,793",+247,90 ,+3,"1,473","3,230",36,81,2,"178,470","3,009",Africa
57,2020-04-27,Egypt,"4,782",+248,337 ,+20,"1,236","3,209",,47,3,"90,000",879,Africa
58,2020-04-27,Finland,"4,695",+119,193 ,+3,"2,500","2,002",56,847,35,"82,437","14,878",Europe
59,2020-04-27,Morocco,"4,120",+55,162 ,+1,695,"3,263",1,112,4,"29,254",793,Africa
60,2020-04-27,Argentina,"4,003",+111,197 ,+5,"1,140","2,666",144,89,4,"49,905","1,104",South America
61,2020-04-27,Luxembourg,"3,729",+6,88 ,,"3,123",518,20,"5,957",141,"39,102","62,465",Europe
62,2020-04-27,Algeria,"3,517",+135,432 ,+7,"1,558","1,527",40,80,10,"6,500",148,Africa
63,2020-04-27,Moldova,"3,481",+73,102 ,+6,925,"2,454",212,863,25,"11,763","2,916",Europe
64,2020-04-27,Kuwait,"3,288",+213,22 ,+2,"1,012","2,254",64,770,5,,,Asia
65,2020-04-27,Thailand,"2,931",+9,52 ,+1,"2,609",270,61,42,0.7,"178,083","2,551",Asia
66,2020-04-27,Kazakhstan,"2,835",+118,25 ,,720,"2,090",35,151,1,"205,560","10,948",Asia
67,2020-04-27,Bahrain,"2,723",+76,8 ,,"1,218","1,497",2,"1,600",5,"117,374","68,980",Asia
68,2020-04-27,Hungary,"2,583",+83,280 ,+8,498,"1,805",61,267,29,"65,625","6,793",Europe
69,2020-04-27,Greece,"2,534",+17,136 ,+2,577,"1,821",43,243,13,"66,094","6,341",Europe
70,2020-04-27,Oman,"2,049",+51,10 ,,364,"1,675",3,401,2,,,Asia
71,2020-04-27,Croatia,"2,039",+9,59 ,+4,"1,166",814,21,497,14,"32,817","7,994",Europe
72,2020-04-27,Uzbekistan,"1,904",+35,8 ,,892,"1,004",8,57,0.2,"242,536","7,247",Asia
73,2020-04-27,Iraq,"1,847",+27,88 ,+1,"1,286",473,,46,2,"73,782","1,834",Asia
74,2020-04-27,Armenia,"1,808",+62,29 ,+1,848,931,10,610,10,"18,547","6,259",Asia
75,2020-04-27,Iceland,"1,792",,10 ,,"1,624",158,1,"5,251",29,"46,377","135,906",Europe
76,2020-04-27,Cameroon,"1,705",+84,58 ,+2,805,842,12,64,2,,,Africa
77,2020-04-27,Afghanistan,"1,703",+172,57 ,+7,220,"1,426",7,44,1,"8,694",223,Asia
78,2020-04-27,Azerbaijan,"1,678",+33,22 ,+1,"1,162",494,15,165,2,"128,807","12,704",Asia
79,2020-04-27,Estonia,"1,647",+4,50 ,+1,233,"1,364",7,"1,242",38,"48,406","36,491",Europe
80,2020-04-27,Bosnia and Herzegovina,"1,565",+49,60 ,+1,659,846,4,477,18,"26,822","8,175",Europe
81,2020-04-27,Ghana,"1,550",,11 ,,155,"1,384",4,50,0.4,"100,622","3,238",Africa
82,2020-04-27,New Zealand,"1,469",,19 ,+1,"1,180",270,1,305,4,"123,920","25,698",Australia/Oceania
83,2020-04-27,Lithuania,"1,449",+11,41 ,,474,934,17,532,15,"106,775","39,223",Europe
84,2020-04-27,Slovenia,"1,402",+6,83 ,+1,221,"1,098",22,674,40,"49,607","23,862",Europe
85,2020-04-27,North Macedonia,"1,399",+13,65 ,+4,553,781,13,672,31,"15,120","7,257",Europe
86,2020-04-27,Cuba,"1,389",+20,56 ,+2,525,808,12,123,5,"39,828","3,516",North America
87,2020-04-27,Slovakia,"1,381",+2,18 ,,403,960,7,253,3,"74,099","13,572",Europe
88,2020-04-27,Bulgaria,"1,363",+63,58 ,+2,206,"1,099",41,196,8,"27,000","3,886",Europe
89,2020-04-27,Nigeria,"1,337",+64,40 ,,255,"1,042",2,6,0.2,"10,918",53,Africa
90,2020-04-27,Ivory Coast,"1,164",+14,14 ,,499,651,,44,0.5,,,Africa
91,2020-04-27,Guinea,"1,163",+167,7 ,,246,910,,89,0.5,,,Africa
92,2020-04-27,Hong Kong,"1,038",,4 ,,787,247,4,138,0.5,"145,640","19,426",Asia
93,2020-04-27,Djibouti,"1,035",+12,2 ,,477,556,,"1,048",2,"12,250","12,399",Africa
94,2020-04-27,Tunisia,967,+18,39 ,+1,279,649,18,82,3,"21,081","1,784",Africa
95,2020-04-27,Bolivia,950,+84,50 ,+4,80,820,3,81,4,"5,791",496,South America
96,2020-04-27,Cyprus,822,+5,15 ,+1,148,659,15,681,12,"50,220","41,595",Asia
97,2020-04-27,Latvia,818,+6,13 ,+1,267,538,5,434,7,"49,235","26,103",Europe
98,2020-04-27,Andorra,743,+5,40 ,,385,318,17,"9,616",518,"1,673","21,653",Europe
99,2020-04-27,Albania,736,+10,28 ,,422,286,4,256,10,"7,491","2,603",Europe
100,2020-04-27,Senegal,736,+65,9 ,,284,443,1,44,0.5,466,28,Africa
101,2020-04-27,Diamond Princess,712,,13 ,,645,54,4,,,,,
102,2020-04-27,Lebanon,710,+3,24 ,,145,541,44,104,4,"29,367","4,303",Asia
103,2020-04-27,Niger,701,+5,29 ,,385,287,,29,1,"5,013",207,Africa
104,2020-04-27,Costa Rica,697,+2,6 ,,287,404,8,137,1,"12,670","2,487",North America
105,2020-04-27,Kyrgyzstan,695,+13,8 ,,395,292,13,107,1,"45,627","6,994",Asia
106,2020-04-27,Honduras,661,+34,61 ,+2,79,521,10,67,6,"3,643",368,North America
107,2020-04-27,Burkina Faso,635,+3,42 ,,469,124,,30,2,,,Africa
108,2020-04-27,Uruguay,606,+10,15 ,+1,375,216,10,174,4,"17,063","4,912",South America
109,2020-04-27,Sri Lanka,588,+65,7 ,,126,455,2,27,0.3,"15,240",712,Asia
110,2020-04-27,San Marino,538,,41 ,,64,433,4,"15,856","1,208","2,082","61,360",Europe
111,2020-04-27,Channel Islands,525,,35 ,,352,138,,"3,020",201,"5,342","30,725",Europe
112,2020-04-27,Guatemala,500,+27,15 ,+2,49,436,5,28,0.8,"7,200",402,North America
113,2020-04-27,Georgia,497,+11,6 ,,156,335,6,125,2,"11,504","2,884",Asia
114,2020-04-27,Somalia,480,+44,26 ,+3,10,444,2,30,2,,,Africa
115,2020-04-27,DRC,459,+17,28 ,,50,381,,5,0.3,,,Africa
116,2020-04-27,Malta,450,+2,4 ,,286,160,1,"1,019",9,"29,456","66,712",Europe
117,2020-04-27,Jordan,449,+2,7 ,,342,100,5,44,0.7,"63,737","6,247",Asia
118,2020-04-27,Taiwan,429,,6 ,,290,133,,18,0.3,"61,684","2,590",Asia
119,2020-04-27,Réunion,418,+1, ,,300,118,2,467,,,,Africa
120,2020-04-27,Mali,408,+19,23 ,,113,272,,20,1,"2,172",107,Africa
121,2020-04-27,Mayotte,401,,4 ,,144,253,4,"1,470",15,"2,500","9,164",Africa
122,2020-04-27,Kenya,363,+8,14 ,,114,235,2,7,0.3,"17,992",335,Africa
123,2020-04-27,Jamaica,350,+45,7 ,,28,315,3,118,2,"3,262","1,102",North America
124,2020-04-27,Palestine,342,,2 ,,83,257,,67,0.4,"27,000","5,293",Asia
125,2020-04-27,Mauritius,334,+2,10 ,+1,302,22,3,263,8,"14,445","11,358",Africa
126,2020-04-27,Venezuela,329,+4,10 ,,142,177,3,12,0.4,"440,966","15,507",South America
127,2020-04-27,El Salvador,323,+25,8 ,,89,226,4,50,1,"20,109","3,100",North America
128,2020-04-27,Montenegro,321,,7 ,,189,125,7,511,11,"5,085","8,096",Europe
129,2020-04-27,Isle of Man,308,,20 ,+2,248,40,22,"3,622",235,"2,903","34,140",Europe
130,2020-04-27,Tanzania,299,,10 ,,48,241,7,5,0.2,,,Africa
131,2020-04-27,Sudan,275,+38,22 ,+1,21,232,,6,0.5,,,Africa
132,2020-04-27,Vietnam,270,, ,,225,45,8,3,,"212,965","2,188",Asia
133,2020-04-27,Equatorial Guinea,258,,1 ,,9,248,,184,0.7,854,609,Africa
134,2020-04-27,Paraguay,228,,9 ,,93,126,1,32,1,"7,630","1,070",South America
135,2020-04-27,Maldives,226,+12, ,,17,209,2,418,,"5,296","9,798",Asia
136,2020-04-27,Gabon,211,+35,3 ,,43,165,1,95,1,724,325,Africa
137,2020-04-27,Congo,207,+7,8 ,,19,180,,38,1,,,Africa
138,2020-04-27,Rwanda,207,+16, ,,93,114,,16,,"6,959",537,Africa
139,2020-04-27,Faeroe Islands,187,, ,,178,9,,"3,827",,"6,588","134,826",Europe
